gene_id	gene_symbol	Normal_1	Normal_2	Normal_3	TNB_1	TNB_2	TNB_3
ENSG00000100292	HMOX1	-1.25	-1.42	-1.18	1.38	1.22	1.25
ENSG00000163636	SLC5A8	-1.35	-1.12	-1.28	1.42	1.18	1.15
ENSG00000115596	KYNU	-1.15	-1.38	-1.22	1.31	1.19	1.25
ENSG00000276168	RN7SL3	-1.40	-1.25	-1.10	1.28	1.35	1.12
ENSG00000170365	CSTA	-1.22	-1.30	-1.15	1.15	1.28	1.24
ENSG00000003402	CFLAR	-1.18	-1.26	-1.32	1.20	1.32	1.24
ENSG00000103811	SLC7A2	-1.28	-1.15	-1.34	1.22	1.30	1.25
ENSG00000270141	RPL13P12	-1.20	-1.35	-1.18	1.18	1.25	1.30
ENSG00000290700	ENSG00000290700	-1.15	-1.22	-1.30	1.12	1.28	1.27
ENSG00000174059	DISP2	-1.25	-1.18	-1.22	1.20	1.22	1.23
ENSG00000259875	ENSG00000259875	-1.30	-1.24	-1.15	1.15	1.24	1.30
ENSG00000154589	LY96	-1.12	-1.32	-1.26	1.25	1.18	1.27
ENSG00000139180	CASD1	-1.24	-1.18	-1.29	1.22	1.26	1.23
ENSG00000160131	GRAMD1C	-1.18	-1.25	-1.28	1.21	1.24	1.26
ENSG00000067955	ZNF711	-1.22	-1.20	-1.27	1.24	1.18	1.27
ENSG00000120659	TNFSF11	-1.30	-1.15	-1.22	1.18	1.22	1.27
ENSG00000164344	CYP39A1	-1.25	-1.28	-1.18	1.20	1.25	1.26
ENSG00000171222	ETNK1	-1.20	-1.22	-1.28	1.25	1.20	1.25
ENSG00000233014	LINC01305	-1.18	-1.25	-1.24	1.22	1.22	1.23
ENSG00000119640	ZWILCH	-1.26	-1.18	-1.24	1.25	1.21	1.22
ENSG00000230758	LINC01876	-1.22	-1.28	-1.19	1.18	1.25	1.26
ENSG00000207399	ENSG00000207399	-1.19	-1.24	-1.25	1.20	1.22	1.26
ENSG00000177174	LPAR6	-1.24	-1.20	-1.22	1.22	1.24	1.20
ENSG00000185122	FAM81B	-1.20	-1.26	-1.21	1.21	1.23	1.23
ENSG00000287514	LOC124902189	-1.18	-1.22	-1.25	1.20	1.22	1.23
ENSG00000175899	ZDHHC23	-1.25	-1.19	-1.22	1.24	1.21	1.21
ENSG00000133493	NDUFA3	-1.21	-1.24	-1.22	1.22	1.22	1.23
ENSG00000140416	WDR72	-1.22	-1.20	-1.24	1.21	1.22	1.23
ENSG00000267258	MIR6718HG	-1.19	-1.25	-1.21	1.20	1.24	1.21
ENSG00000242366	UGT2B11	-1.23	-1.21	-1.22	1.22	1.21	1.23
ENSG00000277258	SCARNA4	-1.20	-1.22	-1.23	1.21	1.22	1.22
ENSG00000186918	SPTSSB	-1.22	-1.20	-1.23	1.22	1.21	1.22
ENSG00000179639	FCER1A	-1.21	-1.23	-1.21	1.21	1.22	1.22
ENSG00000274093	ENSG00000274093	-1.20	-1.22	-1.22	1.21	1.21	1.22
ENSG00000227036	LINC00819	-1.22	-1.21	-1.21	1.22	1.21	1.21
ENSG00000207010	SCARNA1	-1.21	-1.22	-1.21	1.21	1.22	1.21
ENSG00000214273	ENSG00000214273	-1.21	-1.21	-1.22	1.22	1.21	1.21
ENSG00000155097	ALG10	-1.22	-1.21	-1.21	1.21	1.22	1.21
ENSG00000148516	ZEB1	1.21	1.22	1.21	-1.21	-1.22	-1.21
ENSG00000135894	PADI2	1.22	1.21	1.21	-1.22	-1.21	-1.21
ENSG00000110762	ENSG00000110762	1.20	1.22	1.22	-1.21	-1.21	-1.22
ENSG00000201880	SNORA53	1.21	1.23	1.21	-1.21	-1.22	-1.22
ENSG00000202110	SNORA80B	1.22	1.20	1.23	-1.22	-1.21	-1.22
ENSG00000201190	SNORA25	1.20	1.22	1.23	-1.21	-1.22	-1.22
ENSG00000183604	ENSG00000183604	1.23	1.21	1.22	-1.22	-1.21	-1.23
ENSG00000171564	CCDC178	1.19	1.25	1.21	-1.20	-1.24	-1.21
ENSG00000211896	IGHG1	1.22	1.20	1.24	-1.21	-1.22	-1.23
ENSG00000200897	SCARNA6	1.21	1.24	1.22	-1.22	-1.22	-1.23
ENSG00000200234	SNORA65	1.25	1.19	1.22	-1.24	-1.21	-1.21
ENSG00000135069	PSAT1	1.18	1.22	1.25	-1.20	-1.22	-1.23
ENSG00000213741	RPS29	1.20	1.26	1.21	-1.21	-1.23	-1.23
ENSG00000230202	ENSG00000230202	1.24	1.20	1.22	-1.22	-1.24	-1.20
ENSG00000107611	ENSG00000107611	1.19	1.24	1.25	-1.20	-1.22	-1.26
ENSG00000207380	SNORA71B	1.22	1.28	1.19	-1.18	-1.25	-1.26
ENSG00000200795	SNORA73B	1.26	1.18	1.24	-1.25	-1.21	-1.22
ENSG00000164684	SNTN	1.18	1.25	1.24	-1.22	-1.22	-1.23
ENSG00000202417	SNORA12	1.20	1.22	1.28	-1.25	-1.20	-1.25
ENSG00000181847	TIGIT	1.25	1.28	1.18	-1.20	-1.25	-1.26
ENSG00000237731	MTATP6P1	1.30	1.15	1.22	-1.18	-1.22	-1.27
ENSG00000143858	DIRAS3	1.22	1.20	1.27	-1.24	-1.18	-1.27
ENSG00000301569	ENSG00000301569	1.18	1.25	1.28	-1.21	-1.24	-1.26
ENSG00000248449	ENSG00000248449	1.24	1.18	1.29	-1.22	-1.26	-1.23
ENSG00000201710	ENSG00000201710	1.12	1.32	1.26	-1.25	-1.18	-1.27
ENSG00000149401	SERPING1	1.30	1.24	1.15	-1.15	-1.24	-1.30
ENSG00000310784	ENSG00000310784	1.25	1.18	1.22	-1.20	-1.22	-1.23
ENSG00000111676	ATN1	1.15	1.22	1.30	-1.12	-1.28	-1.27
ENSG00000145244	STBD1	1.20	1.35	1.18	-1.18	-1.25	-1.30
ENSG00000167244	IGF2	1.28	1.15	1.34	-1.22	-1.30	-1.25
ENSG00000300001	ENSG00000300001	1.18	1.26	1.32	-1.20	-1.32	-1.24
ENSG00000141668	TNMD	1.22	1.30	1.15	-1.15	-1.28	-1.24
ENSG00000171435	CDKAL2	1.40	1.25	1.10	-1.28	-1.35	-1.12
