#KEY	featureCounts on dataset 100 and 121: Counts_2	featureCounts on dataset 100 and 118: Counts_2	featureCounts on dataset 100 and 115: Counts_2	featureCounts on dataset 100 and 109: Counts_2	featureCounts on dataset 100 and 112: Counts_2	featureCounts on dataset 100 and 106: Counts_2
ENSG00000000003.18	984	1371	1392	456	583	1154
ENSG00000000005.7	73	57	82	49	69	41
ENSG00000000419.16	439	518	517	300	282	296
ENSG00000000457.16	1259	1114	1643	600	947	1150
ENSG00000000460.19	473	407	681	214	317	246
ENSG00000000938.15	123	237	186	161	122	139
ENSG00000000971.19	458	215	598	751	304	434
ENSG00000001036.16	796	1206	990	467	878	771
ENSG00000001084.15	703	814	989	408	694	805
ENSG00000001167.17	1347	1226	2277	1277	1469	1756
ENSG00000001460.20	158	190	215	147	154	216
ENSG00000001461.21	1673	1600	1552	1263	1229	1336
ENSG00000001497.20	550	754	751	625	636	1032
ENSG00000001561.9	535	561	822	329	469	349
ENSG00000001617.14	505	1086	813	614	853	1327
ENSG00000001626.20	143	131	19	3	515	15
ENSG00000001629.12	2327	2601	3029	1558	2080	2170
ENSG00000001630.20	85	162	84	69	36	56
ENSG00000001631.19	502	441	727	268	465	427
ENSG00000002016.20	637	944	967	564	713	850
ENSG00000002330.16	628	1164	675	459	564	830
ENSG00000002549.15	1552	2223	2217	1223	1368	2098
ENSG00000002586.22	0	0	0	0	0	0
ENSG00000002587.12	184	452	437	107	208	373
ENSG00000002726.23	74	20	75	31	29	60
ENSG00000002745.14	22	7	14	5	8	3
ENSG00000002746.17	103	384	446	21	160	210
ENSG00000002822.18	68	58	112	67	56	83
ENSG00000002834.21	2337	4461	3031	2051	3584	4210
ENSG00000002919.17	350	410	508	306	284	426
ENSG00000002933.11	356	498	493	286	364	387
ENSG00000003056.10	470	743	598	396	509	718
ENSG00000003096.17	1346	2319	2639	457	1143	1493
ENSG00000003137.10	121	35	60	94	50	92
ENSG00000003147.21	1035	941	1153	561	855	903
ENSG00000003249.17	78	213	143	83	126	155
ENSG00000003393.18	1560	1755	2506	1189	1557	1980
ENSG00000003400.18	368	444	568	392	343	630
ENSG00000003402.23	6541	5244	7520	5035	6494	6336
ENSG00000003436.18	2242	2644	3684	1845	2108	1938
ENSG00000003509.18	568	616	779	442	529	778
ENSG00000003756.19	4544	5365	6841	3641	4525	7323
ENSG00000003987.16	315	170	424	178	160	171
ENSG00000003989.20	4027	9174	8229	1945	3182	2032
ENSG00000004059.13	1035	2722	1348	824	1189	1317
ENSG00000004139.16	351	544	652	384	388	681
ENSG00000004142.14	959	1762	1248	997	969	1215
ENSG00000004399.15	1950	3135	4717	2379	3281	3413
ENSG00000004455.20	2529	3146	3470	2518	2812	3598
ENSG00000004468.15	104	43	121	84	75	33
ENSG00000004478.10	2277	3259	2105	2223	1838	2486
ENSG00000004487.20	2346	3254	3012	1879	2437	2893
ENSG00000004534.17	3220	3918	4944	2452	3510	4989
ENSG00000004660.17	263	361	199	349	235	190
ENSG00000004700.18	748	1057	970	390	584	387
ENSG00000004766.19	1377	1499	1837	580	875	590
ENSG00000004776.15	182	71	137	293	533	191
ENSG00000004777.20	122	254	287	246	268	337
ENSG00000004779.12	364	698	344	267	215	214
ENSG00000004799.10	3888	2015	3926	1893	3557	1551
ENSG00000004809.16	6	26	32	4	2	15
ENSG00000004838.16	64	99	85	39	65	101
ENSG00000004846.17	292	132	372	114	264	163
ENSG00000004848.9	5	9	1	0	6	9
ENSG00000004864.16	824	728	934	604	689	559
ENSG00000004866.24	360	289	501	246	352	483
ENSG00000004897.14	1782	1919	2565	1007	1450	1183
ENSG00000004939.17	1	6	3	6	4	8
ENSG00000004948.17	36	18	24	19	30	21
ENSG00000004961.17	201	253	230	171	185	170
ENSG00000004975.14	777	1405	999	720	844	1122
ENSG00000005001.12	73	86	99	57	79	116
ENSG00000005007.16	2201	3450	2618	1914	2329	2935
ENSG00000005020.15	1027	775	1276	800	927	846
ENSG00000005022.8	917	1654	1031	819	979	700
ENSG00000005059.18	146	217	234	102	132	148
ENSG00000005073.7	0	8	6	4	0	1
ENSG00000005075.18	442	796	439	397	516	744
ENSG00000005100.14	538	612	785	564	501	665
ENSG00000005102.16	177	564	437	266	446	569
ENSG00000005108.18	321	446	948	372	465	1049
ENSG00000005156.14	949	1073	1324	1033	1150	1500
ENSG00000005175.12	748	837	1318	456	656	517
ENSG00000005187.14	225	366	254	137	320	134
ENSG00000005189.22	230	240	252	168	197	204
ENSG00000005194.17	431	829	601	426	361	477
ENSG00000005206.19	580	1226	963	651	761	1057
ENSG00000005238.22	259	464	397	318	335	470
ENSG00000005243.12	185	537	317	169	326	317
ENSG00000005249.16	1351	860	655	916	1110	541
ENSG00000005302.20	663	834	995	629	761	994
ENSG00000005339.16	3240	3500	5477	3862	5316	7051
ENSG00000005379.18	907	1539	1263	971	1236	2035
ENSG00000005381.9	12	10	19	6	5	2
ENSG00000005421.11	69	36	66	45	50	36
ENSG00000005436.16	1044	961	1397	607	803	525
ENSG00000005448.19	35	99	79	44	39	70
ENSG00000005469.14	678	988	1117	271	572	684
ENSG00000005471.21	79	70	96	55	84	73
ENSG00000005483.24	3831	3073	5506	3236	4924	5401
ENSG00000005486.19	409	713	694	391	517	743
ENSG00000005513.12	225	247	176	312	219	60
ENSG00000005700.17	2225	2282	2881	1141	1538	1078
ENSG00000005801.20	814	830	1060	478	669	518
ENSG00000005810.22	6341	5028	8600	4568	6313	6147
ENSG00000005812.13	2302	2371	3296	1280	2148	1750
ENSG00000005844.21	264	259	430	310	365	424
ENSG00000005882.14	328	658	455	384	499	763
ENSG00000005884.20	1917	4329	3760	1898	2767	3962
ENSG00000005889.18	3179	3394	4257	2177	2856	2912
ENSG00000005893.19	4965	5344	5770	2178	3600	3229
ENSG00000005961.21	23	79	68	21	42	57
ENSG00000005981.15	18	20	45	8	12	21
ENSG00000006007.14	778	1341	1100	521	786	786
ENSG00000006015.20	445	784	510	410	464	576
ENSG00000006016.14	157	212	234	48	170	190
ENSG00000006025.15	282	606	492	297	398	599
ENSG00000006042.14	1292	3200	1958	870	1388	1600
ENSG00000006047.15	32	35	42	48	60	48
ENSG00000006059.5	1	0	0	0	0	0
