"Gene","BaseMean","log2FC","SE","WaldStat","PValue","Padj","GeneLabel","Direction"
"ENSG00000167244.23",280.174811382567,3.18453180224304,0.462240237745784,6.8893435538479,5.60504274075256e-12,1.68285803248355e-07,"IGF2","Upregulated"
"ENSG00000210154.1",33.3569547210592,5.180030889054,0.845014370106298,6.13010982097545,8.78184329666057e-10,1.31833031569468e-05,"ENSG00000210154.1","Upregulated"
"ENSG00000100376.14",1339.69579841368,1.60319711791457,0.285485783701975,5.61568109320702,1.95789476825745e-08,7.3479790652702e-05,"SIRAL2","Upregulated"
"ENSG00000281769.2",56.6932166971017,3.81837339979691,0.716532528401815,5.32896030318899,9.8776581287469e-08,0.000296566807657497,"ENSG00000281769.2","Upregulated"
"ENSG00000210144.1",112.360172971073,2.39583865284514,0.455786925399315,5.25648832674642,1.46832091955206e-07,0.000367373894071925,"ENSG00000210144.1","Upregulated"
"ENSG00000179820.19",1077.99773712308,1.42895073145615,0.285334442974441,5.00798542426282,5.50026988464392e-07,0.00110093402011033,"MYADM","Upregulated"
"ENSG00000295262.1",23.3231365536592,4.33535229154393,0.87215960630281,4.97082444567918,6.66687957116229e-07,0.00117744936614457,"ENSG00000295262.1","Upregulated"
"ENSG00000198888.2",10158.1421963164,2.24471017598151,0.463856638021984,4.83923262487648,1.30341413426452e-06,0.00217409477595322,"MT-ND1","Upregulated"
"ENSG00000141905.21",2847.60364934856,1.20247308911787,0.250395602993766,4.8022931502827,1.5685882327174e-06,0.00235476465495536,"NFIC","Upregulated"
"ENSG00000213015.11",286.649624224584,1.58766883219021,0.332023125727951,4.7818019564429,1.73730793629798e-06,0.00248385397521003,"ZNF580","Upregulated"
"ENSG00000120659.17",26.5120418245641,-3.87297804133701,0.670973103454417,-5.77218076462006,7.82521020117308e-09,5.87360277700051e-05,"TNFSF11","Downregulated"
"ENSG00000310762.1",1077.73249626891,-2.834813276962,0.487236685566324,-5.81814416060862,5.95045731763145e-09,5.87360277700051e-05,"ENSG00000310762.1","Downregulated"
"ENSG00000252906.1",146.020954518945,-3.22070756709066,0.562365190038037,-5.72707490460571,1.02177061632681e-08,6.13552819691923e-05,"SCARNA3","Downregulated"
"ENSG00000089250.21",46.1481115476803,-3.1383130627184,0.551968930475119,-5.68566977133483,1.30300966734783e-08,6.52026037540853e-05,"NOS1","Downregulated"
"ENSG00000259675.5",51.3127235537547,-2.56082175190847,0.453723621384767,-5.64401241463434,1.66132086525084e-08,7.12564252261301e-05,"ENSG00000259675.5","Downregulated"
"ENSG00000274266.1",6838.06059703955,-2.85848441220289,0.52746824123602,-5.4192540682726,5.98482153760837e-08,0.000199653646494615,"SNORA73A","Downregulated"
"ENSG00000200087.1",10312.9640576961,-2.6700638174052,0.507593355051768,-5.26024186650924,1.43866037993391e-07,0.000367373894071925,"SNORA73B","Downregulated"
"ENSG00000206799.1",138.324753097177,-2.64963904857949,0.507426531617597,-5.22171956624509,1.77269280435543e-07,0.000409410221215134,"SNORA32","Downregulated"
"ENSG00000201302.1",130.756697435122,-3.04030106086754,0.59753270252504,-5.08809149360346,3.61684878035745e-07,0.0007756590555818,"SNORA65","Downregulated"
"ENSG00000211898.8",42.9956363812118,-2.64611728966104,0.529703289995594,-4.99547074680819,5.86924206644341e-07,0.00110136327376811,"IGHD","Downregulated"
