gene_id,gene_symbol,Normal_1,Normal_2,Normal_3,TNB_1,TNB_2,TNB_3
ENSG00000100292,HMOX1,1120,950,1180,8210,8540,8920
ENSG00000163636,SLC5A8,340,380,310,2120,2050,2140
ENSG00000115596,KYNU,280,240,290,1490,1540,1530
ENSG00000276168,RN7SL3,980,1050,1120,5600,5820,5890
ENSG00000170365,CSTA,690,650,710,3580,3610,3660
ENSG00000003402,CFLAR,710,680,690,2950,3010,3000
ENSG00000103811,SLC7A2,610,640,580,2510,2540,2480
ENSG00000270141,RPL13P12,410,380,420,1550,1570,1550
ENSG00000290700,ENSG00000290700,240,230,220,840,860,855
ENSG00000174059,DISP2,310,330,320,1130,1150,1140
ENSG00000259875,ENSG00000259875,180,190,200,630,640,630
ENSG00000154589,LY96,720,680,710,2510,2540,2560
ENSG00000139180,CASD1,440,460,430,1510,1530,1510
ENSG00000160131,GRAMD1C,510,490,520,1720,1740,1720
ENSG00000067955,ZNF711,390,410,380,1290,1310,1260
ENSG00000120659,TNFSF11,350,380,360,1160,1180,1130
ENSG00000164344,CYP39A1,310,300,320,990,1010,970
ENSG00000171222,ETNK1,440,430,450,1390,1410,1400
ENSG00000233014,LINC01305,210,200,220,650,660,640
ENSG00000119640,ZWILCH,910,940,920,2850,2880,2840
ENSG00000230758,LINC01876,190,180,200,570,580,560
ENSG00000207399,ENSG00000207399,250,240,260,770,780,760
ENSG00000177174,LPAR6,720,740,710,2170,2190,2170
ENSG00000185122,FAM81B,310,300,320,930,940,920
ENSG00000287514,LOC124902189,160,150,170,470,480,460
ENSG00000175899,ZDHHC23,450,470,440,1330,1350,1310
ENSG00000133493,NDUFA3,1280,1250,1290,3690,3720,3660
ENSG00000140416,WDR72,250,260,240,730,740,720
ENSG00000267258,MIR6718HG,190,180,200,540,550,530
ENSG00000242366,UGT2B11,410,420,400,1160,1180,1150
ENSG00000277258,SCARNA4,320,310,330,890,910,890
ENSG00000186918,SPTSSB,490,510,480,1390,1410,1380
ENSG00000179639,FCER1A,280,270,290,770,780,760
ENSG00000274093,ENSG00000274093,160,150,170,430,440,420
ENSG00000227036,LINC00819,220,230,210,610,620,590
ENSG00000207010,SCARNA1,310,300,320,860,870,850
ENSG00000214273,ENSG00000214273,190,180,200,510,520,500
ENSG00000155097,ALG10,480,490,470,1270,1290,1260
ENSG00000148516,ZEB1,4680,4720,4650,1650,1620,1680
ENSG00000135894,PADI2,1150,1170,1130,400,390,410
ENSG00000110762,ENSG00000110762,670,680,660,230,220,240
ENSG00000201880,SNORA53,920,940,910,310,300,320
ENSG00000202110,SNORA80B,810,830,790,270,260,280
ENSG00000201190,SNORA25,720,740,710,240,230,250
ENSG00000183604,ENSG00000183604,1320,1350,1300,440,430,450
ENSG00000171564,CCDC178,1060,1090,1040,350,340,360
ENSG00000211896,IGHG1,2890,2940,2850,940,920,970
ENSG00000200897,SCARNA6,980,1010,960,310,300,330
ENSG00000200234,SNORA65,880,910,860,270,260,290
ENSG00000135069,PSAT1,3180,3240,3120,980,950,1010
ENSG00000213741,RPS29,6420,6540,6350,1950,1910,2010
ENSG00000230202,ENSG00000230202,590,610,580,180,170,190
ENSG00000107611,ENSG00000107611,980,1020,960,290,280,310
ENSG00000207380,SNORA71B,810,840,790,240,230,250
ENSG00000200795,SNORA73B,750,780,730,220,210,230
ENSG00000164684,SNTN,1260,1310,1230,360,350,380
ENSG00000202417,SNORA12,940,980,920,270,260,280
ENSG00000181847,TIGIT,1780,1850,1740,500,480,530
ENSG00000237731,MTATP6P1,1480,1540,1440,410,390,430
ENSG00000143858,DIRAS3,4460,4620,4380,1190,1150,1240
ENSG00000301569,ENSG00000301569,680,710,660,180,170,190
ENSG00000248449,ENSG00000248449,570,600,550,150,140,160
ENSG00000201710,ENSG00000201710,810,850,780,210,200,220
ENSG00000149401,SERPING1,4980,5200,4850,1260,1210,1310
ENSG00000310784,ENSG00000310784,520,550,500,130,120,140
ENSG00000111676,ATN1,3180,3320,3100,770,740,800
ENSG00000145244,STBD1,2420,2540,2360,560,540,580
ENSG00000167244,IGF2,8100,8450,7900,1820,1750,1890
ENSG00000300001,ENSG00000300001,780,820,750,170,160,180
ENSG00000141668,TNMD,3020,3180,2950,640,610,670
ENSG00000171435,CDKAL2,2120,2240,2060,430,410,450
ENSG00000138778,FGFRL1,3980,4190,3870,770,740,800
ENSG00000108342,TM4SF4,2840,2990,2760,510,490,530
ENSG00000233927,RPL28,6620,6980,6450,1110,1070,1160
ENSG00000142611,PRDM16,3780,3990,3680,590,570,620
ENSG00000141959,NFIC,5120,5410,4980,740,710,770
ENSG00000260417,ENSG00000260417,680,720,660,90,85,95
ENSG00000168056,FAM107A,3210,3400,3110,410,390,430
ENSG00000295404,ENSG00000295404,560,590,540,68,64,72
ENSG00000295262,ENSG00000295262,530,560,510,60,56,64
ENSG00000281769,ENSG00000281769,640,680,620,66,62,70
ENSG00000136286,ATP10B,2620,2770,2540,240,230,250
ENSG00000300339,ENSG00000300339,480,510,460,41,39,43
ENSG00000164292,CLVS2,2210,2340,2140,165,158,172
ENSG00000128342,LIF,5010,5320,4860,335,320,350
ENSG00000009950,MLXIPL,2910,3090,2820,178,170,186
ENSG00000210154,ENSG00000210154,460,490,440,25,23,27
ENSG00000171241,MYADM,6650,7080,6450,332,318,346
ENSG00000197728,RPS26,7980,8510,7740,328,312,344
ENSG00000213058,ENSG00000213058,610,650,590,21,19,23
