pathway_id,pathway_name,gene_count,gene_ratio,pvalue,padj,genes
hsa04072,Phospholipase D signaling pathway,3,0.165,0.0042,0.142,"DIRAS3/LPAR6/CLVS2"
hsa00860,Porphyrin metabolism,2,0.115,0.0078,0.151,"DIO2/CASD1"
hsa00510,N-Glycan biosynthesis,2,0.115,0.0089,0.151,"ALG10/STBD1"
hsa04064,NF-kappa B signaling pathway,2,0.115,0.0112,0.162,"LIF/SERPING1"
hsa04071,Sphingolipid signaling pathway,2,0.115,0.0145,0.330,"ATP10B/DIRAS3"
hsa05204,Chemical carcinogenesis - receptor activation,2,0.115,0.0182,0.330,"UGT2B11/CYP39A1"
hsa01240,Biosynthesis of cofactors,2,0.115,0.0210,0.330,"PSAT1/KYNU"
hsa00514,Various types of N-glycan biosynthesis,1,0.058,0.0340,0.330,"ALG10"
hsa00380,Tryptophan metabolism,1,0.058,0.0385,0.330,"KYNU"
hsa00120,Primary bile acid biosynthesis,1,0.058,0.0410,0.330,"CYP39A1"
hsa00040,Pentose and glucuronate interconversions,1,0.058,0.0442,0.330,"UGT2B11"
hsa04216,Ferroptosis,1,0.058,0.0489,0.330,"HMOX1"
hsa05310,Asthma,1,0.058,0.0521,0.330,"FCER1A"
hsa00053,Ascorbate and aldarate metabolism,1,0.058,0.0564,0.330,"UGT2B11"
hsa00220,Arginine biosynthesis,1,0.058,0.0612,0.330,"PSAT1"
