pathway_id,pathway_name,gene_count,gene_ratio,pvalue,padj,genes
hsa04668,TNF signaling pathway,2,0.160,0.0084,0.292,"TNFSF11/CFLAR"
hsa03010,Ribosome,2,0.160,0.0102,0.292,"RPL13P12/RPS29"
hsa04714,Thermogenesis,2,0.160,0.0125,0.292,"NDUFA3/CYP39A1"
hsa05171,Coronavirus disease,2,0.160,0.0142,0.292,"RPL13P12/LY96"
hsa04918,Thyroid hormone signaling pathway,1,0.080,0.0381,0.345,"CASD1"
hsa04550,Signaling pathways regulating pluripotency of stem cells,1,0.080,0.0412,0.345,"DISP2"
hsa04723,Retrograde endocannabinoid signaling,1,0.080,0.0445,0.345,"NDUFA3"
hsa03020,Polycomb repressive complex,1,0.080,0.0489,0.345,"ZNF711"
hsa05152,Pertussis,1,0.080,0.0512,0.345,"FCER1A"
hsa00190,Oxidative phosphorylation,1,0.080,0.0538,0.345,"NDUFA3"
hsa04932,Non-alcoholic fatty liver disease,1,0.080,0.0570,0.345,"NDUFA3"
hsa00310,Lysine degradation,1,0.080,0.0594,0.345,"KYNU"
hsa04931,Insulin resistance,1,0.080,0.0621,0.345,"SLC5A8"
hsa04610,Complement and coagulation cascades,1,0.080,0.0658,0.345,"CSTA"
hsa04625,C-type lectin receptor signaling pathway,1,0.080,0.0692,0.345,"LY96"
