rank,gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
1,ENSG00000233974,ENSG00000233974,195.4,-6.65,0.98,-6.79,1.12e-11,4.60e-07,Downregulated
2,ENSG00000100292,HMOX1,4820.5,3.48,0.48,7.25,4.15e-13,6.82e-07,Upregulated
3,ENSG00000210144,ENSG00000210144,210.5,-6.35,0.95,-6.68,2.39e-11,7.10e-07,Downregulated
4,ENSG00000211448,DIO2,2240.6,-6.10,0.92,-6.63,3.36e-11,8.90e-07,Downregulated
5,ENSG00000164107,HAND2,1890.3,-5.82,0.89,-6.54,6.15e-11,1.38e-06,Downregulated
6,ENSG00000276839,ENSG00000276839,280.2,-5.58,0.86,-6.49,8.51e-11,1.72e-06,Downregulated
7,ENSG00000213058,ENSG00000213058,310.8,-5.35,0.83,-6.45,1.12e-10,2.05e-06,Downregulated
8,ENSG00000197728,RPS26,4120.4,-5.12,0.80,-6.40,1.55e-10,2.60e-06,Downregulated
9,ENSG00000171241,MYADM,3450.9,-4.90,0.78,-6.28,3.39e-10,4.80e-06,Downregulated
10,ENSG00000163636,SLC5A8,1240.2,2.85,0.42,6.78,1.20e-11,4.90e-06,Upregulated
11,ENSG00000210154,ENSG00000210154,240.3,-4.72,0.76,-6.21,5.31e-10,6.50e-06,Downregulated
12,ENSG00000009950,MLXIPL,1530.1,-4.55,0.74,-6.15,7.74e-10,8.45e-06,Downregulated
13,ENSG00000128342,LIF,2650.8,-4.38,0.72,-6.08,1.20e-9,1.15e-05,Downregulated
14,ENSG00000164292,CLVS2,1180.2,-4.21,0.70,-6.01,1.85e-9,1.52e-05,Downregulated
15,ENSG00000300339,ENSG00000300339,260.5,-4.05,0.68,-5.96,2.53e-9,1.90e-05,Downregulated
16,ENSG00000281769,ENSG00000281769,350.4,-3.72,0.63,-5.90,3.63e-9,2.45e-05,Downregulated
17,ENSG00000136286,ATP10B,1420.7,-3.89,0.66,-5.89,3.87e-9,2.55e-05,Downregulated
18,ENSG00000295262,ENSG00000295262,290.8,-3.58,0.61,-5.87,4.35e-9,2.75e-05,Downregulated
19,ENSG00000295404,ENSG00000295404,310.2,-3.42,0.59,-5.80,6.63e-9,3.50e-05,Downregulated
20,ENSG00000115596,KYNU,895.4,2.71,0.45,6.02,1.74e-9,4.12e-05,Upregulated
