gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
ENSG00000100292,HMOX1,4820.5,3.48,0.48,7.25,4.15e-13,6.82e-07,Upregulated
ENSG00000163636,SLC5A8,1240.2,2.85,0.42,6.78,1.20e-11,4.90e-06,Upregulated
ENSG00000115596,KYNU,895.4,2.71,0.45,6.02,1.74e-9,4.12e-05,Upregulated
ENSG00000276168,RN7SL3,3410.8,2.45,0.43,5.70,1.20e-8,2.80e-04,Upregulated
ENSG00000170365,CSTA,2150.6,2.38,0.46,5.17,2.34e-7,3.52e-04,Upregulated
ENSG00000003402,CFLAR,1840.1,2.15,0.41,5.24,1.60e-7,2.94e-04,Upregulated
ENSG00000103811,SLC7A2,1560.3,1.98,0.40,4.95,7.42e-7,8.20e-04,Upregulated
ENSG00000270141,RPL13P12,980.2,1.86,0.39,4.77,1.84e-6,1.45e-03,Upregulated
ENSG00000290700,ENSG00000290700,540.8,1.79,0.38,4.71,2.47e-6,1.82e-03,Upregulated
ENSG00000174059,DISP2,730.5,1.75,0.39,4.48,7.46e-6,3.62e-03,Upregulated
ENSG00000259875,ENSG00000259875,412.1,1.68,0.37,4.54,5.63e-6,3.10e-03,Upregulated
ENSG00000154589,LY96,1620.4,1.62,0.36,4.50,6.80e-6,3.45e-03,Upregulated
ENSG00000139180,CASD1,980.7,1.58,0.35,4.51,6.48e-6,3.40e-03,Upregulated
ENSG00000160131,GRAMD1C,1120.3,1.55,0.36,4.31,1.63e-5,6.21e-03,Upregulated
ENSG00000067955,ZNF711,840.2,1.51,0.35,4.31,1.63e-5,6.21e-03,Upregulated
ENSG00000120659,TNFSF11,760.1,1.48,0.36,4.11,3.96e-5,1.18e-02,Upregulated
ENSG00000164344,CYP39A1,650.4,1.45,0.35,4.14,3.47e-5,1.09e-02,Upregulated
ENSG00000171222,ETNK1,920.8,1.42,0.36,3.94,8.15e-5,1.95e-02,Upregulated
ENSG00000233014,LINC01305,430.2,1.39,0.35,3.97,7.19e-5,1.82e-02,Upregulated
ENSG00000119640,ZWILCH,1890.5,1.36,0.34,4.00,6.33e-5,1.68e-02,Upregulated
ENSG00000230758,LINC01876,380.6,1.33,0.34,3.91,9.23e-5,2.15e-02,Upregulated
ENSG00000207399,ENSG00000207399,510.3,1.31,0.35,3.74,1.84e-4,3.20e-02,Upregulated
ENSG00000177174,LPAR6,1450.9,1.28,0.33,3.88,1.04e-4,2.34e-02,Upregulated
ENSG00000185122,FAM81B,620.1,1.25,0.34,3.68,2.33e-4,3.72e-02,Upregulated
ENSG00000287514,LOC124902189,310.4,1.22,0.33,3.70,2.15e-4,3.58e-02,Upregulated
ENSG00000175899,ZDHHC23,890.7,1.20,0.32,3.75,1.77e-4,3.15e-02,Upregulated
ENSG00000133493,NDUFA3,2480.3,1.18,0.31,3.81,1.39e-4,2.78e-02,Upregulated
ENSG00000140416,WDR72,490.2,1.16,0.32,3.62,2.95e-4,4.21e-02,Upregulated
ENSG00000267258,MIR6718HG,360.5,1.14,0.31,3.68,2.33e-4,3.72e-02,Upregulated
ENSG00000242366,UGT2B11,780.4,1.12,0.31,3.61,3.06e-4,4.28e-02,Upregulated
ENSG00000277258,SCARNA4,610.1,1.10,0.30,3.67,2.42e-4,3.78e-02,Upregulated
ENSG00000186918,SPTSSB,940.6,1.08,0.30,3.60,3.18e-4,4.35e-02,Upregulated
ENSG00000179639,FCER1A,520.3,1.07,0.30,3.57,3.57e-4,4.52e-02,Upregulated
ENSG00000274093,ENSG00000274093,290.7,1.06,0.30,3.53,4.15e-4,4.81e-02,Upregulated
ENSG00000227036,LINC00819,410.5,1.05,0.29,3.62,2.95e-4,4.21e-02,Upregulated
ENSG00000207010,SCARNA1,580.2,1.04,0.29,3.59,3.31e-4,4.40e-02,Upregulated
ENSG00000214273,ENSG00000214273,340.9,1.03,0.29,3.55,3.85e-4,4.68e-02,Upregulated
ENSG00000155097,ALG10,870.4,1.02,0.28,3.64,2.73e-4,4.10e-02,Upregulated
ENSG00000148516,ZEB1,3200.5,-1.02,0.28,-3.64,2.73e-4,4.10e-02,Downregulated
ENSG00000135894,PADI2,780.2,-1.04,0.29,-3.59,3.31e-4,4.40e-02,Downregulated
ENSG00000110762,ENSG00000110762,450.8,-1.05,0.29,-3.62,2.95e-4,4.21e-02,Downregulated
ENSG00000201880,SNORA53,620.4,-1.07,0.30,-3.57,3.57e-4,4.52e-02,Downregulated
ENSG00000202110,SNORA80B,540.6,-1.09,0.30,-3.63,2.83e-4,4.15e-02,Downregulated
ENSG00000201190,SNORA25,480.3,-1.11,0.30,-3.70,2.15e-4,3.58e-02,Downregulated
ENSG00000183604,ENSG00000183604,890.1,-1.13,0.31,-3.65,2.62e-4,4.02e-02,Downregulated
ENSG00000171564,CCDC178,710.5,-1.15,0.31,-3.71,2.07e-4,3.52e-02,Downregulated
ENSG00000211896,IGHG1,1920.8,-1.18,0.31,-3.81,1.39e-4,2.78e-02,Downregulated
ENSG00000200897,SCARNA6,650.3,-1.20,0.32,-3.75,1.77e-4,3.15e-02,Downregulated
ENSG00000200234,SNORA65,580.9,-1.22,0.32,-3.81,1.39e-4,2.78e-02,Downregulated
ENSG00000135069,PSAT1,2100.4,-1.25,0.33,-3.79,1.51e-4,2.92e-02,Downregulated
ENSG00000213741,RPS29,4200.7,-1.28,0.33,-3.88,1.04e-4,2.34e-02,Downregulated
ENSG00000230202,ENSG00000230202,390.2,-1.31,0.34,-3.85,1.18e-4,2.51e-02,Downregulated
ENSG00000107611,ENSG00000107611,640.5,-1.34,0.34,-3.94,8.15e-5,1.95e-02,Downregulated
ENSG00000207380,SNORA71B,530.8,-1.37,0.35,-3.91,9.23e-5,2.15e-02,Downregulated
ENSG00000200795,SNORA73B,490.1,-1.40,0.35,-4.00,6.33e-5,1.68e-02,Downregulated
ENSG00000164684,SNTN,820.6,-1.43,0.35,-4.09,4.31e-5,1.25e-02,Downregulated
ENSG00000202417,SNORA12,610.4,-1.47,0.36,-4.08,4.50e-5,1.28e-02,Downregulated
ENSG00000181847,TIGIT,1150.2,-1.51,0.36,-4.19,2.79e-5,9.45e-03,Downregulated
ENSG00000237731,MTATP6P1,950.8,-1.56,0.36,-4.33,1.49e-5,5.84e-03,Downregulated
ENSG00000143858,DIRAS3,2840.6,-1.62,0.37,-4.38,1.19e-5,4.92e-03,Downregulated
ENSG00000301569,ENSG00000301569,430.5,-1.68,0.38,-4.42,9.86e-6,4.32e-03,Downregulated
ENSG00000248449,ENSG00000248449,360.2,-1.73,0.38,-4.55,5.36e-6,3.01e-03,Downregulated
ENSG00000201710,ENSG00000201710,510.9,-1.79,0.39,-4.59,4.43e-6,2.65e-03,Downregulated
ENSG00000149401,SERPING1,3100.2,-1.85,0.40,-4.63,3.66e-6,2.30e-03,Downregulated
ENSG00000310784,ENSG00000310784,320.4,-1.91,0.40,-4.78,1.75e-6,1.40e-03,Downregulated
ENSG00000111676,ATN1,1950.7,-1.98,0.41,-4.83,1.37e-6,1.18e-03,Downregulated
ENSG00000145244,STBD1,1480.3,-2.06,0.42,-4.90,9.58e-7,9.15e-04,Downregulated
ENSG00000167244,IGF2,4920.8,-2.15,0.43,-5.00,5.73e-7,6.42e-04,Downregulated
ENSG00000300001,ENSG00000300001,470.1,-2.24,0.44,-5.09,3.58e-7,4.82e-04,Downregulated
ENSG00000141668,TNMD,1820.5,-2.33,0.45,-5.18,2.22e-7,3.40e-04,Downregulated
ENSG00000171435,CDKAL2,1260.4,-2.42,0.46,-5.26,1.44e-7,2.75e-04,Downregulated
ENSG00000138778,FGFRL1,2340.9,-2.52,0.47,-5.36,8.32e-8,1.85e-04,Downregulated
ENSG00000108342,TM4SF4,1650.2,-2.63,0.48,-5.48,4.25e-8,1.15e-04,Downregulated
ENSG00000233927,RPL28,3800.6,-2.75,0.49,-5.61,2.02e-8,6.85e-05,Downregulated
ENSG00000142611,PRDM16,2150.3,-2.88,0.51,-5.65,1.60e-8,5.90e-05,Downregulated
ENSG00000141959,NFIC,2890.1,-3.02,0.53,-5.70,1.20e-8,4.95e-05,Downregulated
ENSG00000260417,ENSG00000260417,380.9,-3.15,0.55,-5.73,1.00e-8,4.50e-05,Downregulated
ENSG00000168056,FAM107A,1780.4,-3.28,0.57,-5.75,8.91e-9,4.20e-05,Downregulated
ENSG00000295404,ENSG00000295404,310.2,-3.42,0.59,-5.80,6.63e-9,3.50e-05,Downregulated
ENSG00000295262,ENSG00000295262,290.8,-3.58,0.61,-5.87,4.35e-9,2.75e-05,Downregulated
ENSG00000281769,ENSG00000281769,350.4,-3.72,0.63,-5.90,3.63e-9,2.45e-05,Downregulated
ENSG00000136286,ATP10B,1420.7,-3.89,0.66,-5.89,3.87e-9,2.55e-05,Downregulated
ENSG00000300339,ENSG00000300339,260.5,-4.05,0.68,-5.96,2.53e-9,1.90e-05,Downregulated
ENSG00000164292,CLVS2,1180.2,-4.21,0.70,-6.01,1.85e-9,1.52e-05,Downregulated
ENSG00000128342,LIF,2650.8,-4.38,0.72,-6.08,1.20e-9,1.15e-05,Downregulated
ENSG00000009950,MLXIPL,1530.1,-4.55,0.74,-6.15,7.74e-10,8.45e-06,Downregulated
ENSG00000210154,ENSG00000210154,240.3,-4.72,0.76,-6.21,5.31e-10,6.50e-06,Downregulated
ENSG00000171241,MYADM,3450.9,-4.90,0.78,-6.28,3.39e-10,4.80e-06,Downregulated
ENSG00000197728,RPS26,4120.4,-5.12,0.80,-6.40,1.55e-10,2.60e-06,Downregulated
ENSG00000213058,ENSG00000213058,310.8,-5.35,0.83,-6.45,1.12e-10,2.05e-06,Downregulated
