category,go_id,go_description,gene_count,pvalue,padj,regulation_bias
BP,GO:0006954,inflammatory response,9,0.0006,0.045,Both
BP,GO:0007165,signal transduction,12,0.0009,0.052,Downregulated
BP,GO:0008283,cell proliferation,8,0.0018,0.078,Upregulated
BP,GO:0006811,ion transport,7,0.0022,0.089,Upregulated
BP,GO:0045944,positive regulation of transcription by RNA polymerase II,9,0.0029,0.098,Downregulated
BP,GO:0006979,response to oxidative stress,5,0.0035,0.110,Upregulated
MF,GO:0005515,protein binding,32,0.0002,0.021,Both
MF,GO:0003677,DNA binding,14,0.0007,0.048,Downregulated
MF,GO:0016491,oxidoreductase activity,6,0.0021,0.082,Upregulated
MF,GO:0005215,transporter activity,5,0.0038,0.115,Upregulated
CC,GO:0005886,plasma membrane,23,0.0004,0.035,Both
CC,GO:0005634,nucleus,23,0.0005,0.038,Both
CC,GO:0005737,cytoplasm,28,0.0007,0.049,Both
CC,GO:0005576,extracellular region,11,0.0019,0.081,Downregulated
