gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000100292,HMOX1,4820.5,3.48,0.48,7.25,4.15e-13,6.82e-07
ENSG00000163636,SLC5A8,1240.2,2.85,0.42,6.78,1.20e-11,4.90e-06
ENSG00000115596,KYNU,895.4,2.71,0.45,6.02,1.74e-9,4.12e-05
ENSG00000276168,RN7SL3,3410.8,2.45,0.43,5.70,1.20e-8,2.80e-04
ENSG00000170365,CSTA,2150.6,2.38,0.46,5.17,2.34e-7,3.52e-04
ENSG00000003402,CFLAR,1840.1,2.15,0.41,5.24,1.60e-7,2.94e-04
ENSG00000103811,SLC7A2,1560.3,1.98,0.40,4.95,7.42e-7,8.20e-04
ENSG00000270141,RPL13P12,980.2,1.86,0.39,4.77,1.84e-6,1.45e-03
ENSG00000290700,ENSG00000290700,540.8,1.79,0.38,4.71,2.47e-6,1.82e-03
ENSG00000174059,DISP2,730.5,1.75,0.39,4.48,7.46e-6,3.62e-03
ENSG00000259875,ENSG00000259875,412.1,1.68,0.37,4.54,5.63e-6,3.10e-03
ENSG00000154589,LY96,1620.4,1.62,0.36,4.50,6.80e-6,3.45e-03
ENSG00000139180,CASD1,980.7,1.58,0.35,4.51,6.48e-6,3.40e-03
ENSG00000160131,GRAMD1C,1120.3,1.55,0.36,4.31,1.63e-5,6.21e-03
ENSG00000067955,ZNF711,840.2,1.51,0.35,4.31,1.63e-5,6.21e-03
ENSG00000120659,TNFSF11,760.1,1.48,0.36,4.11,3.96e-5,1.18e-02
ENSG00000164344,CYP39A1,650.4,1.45,0.35,4.14,3.47e-5,1.09e-02
ENSG00000171222,ETNK1,920.8,1.42,0.36,3.94,8.15e-5,1.95e-02
ENSG00000233014,LINC01305,430.2,1.39,0.35,3.97,7.19e-5,1.82e-02
ENSG00000119640,ZWILCH,1890.5,1.36,0.34,4.00,6.33e-5,1.68e-02
ENSG00000230758,LINC01876,380.6,1.33,0.34,3.91,9.23e-5,2.15e-02
ENSG00000207399,ENSG00000207399,510.3,1.31,0.35,3.74,1.84e-4,3.20e-02
ENSG00000177174,LPAR6,1450.9,1.28,0.33,3.88,1.04e-4,2.34e-02
ENSG00000185122,FAM81B,620.1,1.25,0.34,3.68,2.33e-4,3.72e-02
ENSG00000287514,LOC124902189,310.4,1.22,0.33,3.70,2.15e-4,3.58e-02
ENSG00000175899,ZDHHC23,890.7,1.20,0.32,3.75,1.77e-4,3.15e-02
ENSG00000133493,NDUFA3,2480.3,1.18,0.31,3.81,1.39e-4,2.78e-02
ENSG00000140416,WDR72,490.2,1.16,0.32,3.62,2.95e-4,4.21e-02
ENSG00000267258,MIR6718HG,360.5,1.14,0.31,3.68,2.33e-4,3.72e-02
ENSG00000242366,UGT2B11,780.4,1.12,0.31,3.61,3.06e-4,4.28e-02
ENSG00000277258,SCARNA4,610.1,1.10,0.30,3.67,2.42e-4,3.78e-02
ENSG00000186918,SPTSSB,940.6,1.08,0.30,3.60,3.18e-4,4.35e-02
ENSG00000179639,FCER1A,520.3,1.07,0.30,3.57,3.57e-4,4.52e-02
ENSG00000274093,ENSG00000274093,290.7,1.06,0.30,3.53,4.15e-4,4.81e-02
ENSG00000227036,LINC00819,410.5,1.05,0.29,3.62,2.95e-4,4.21e-02
ENSG00000207010,SCARNA1,580.2,1.04,0.29,3.59,3.31e-4,4.40e-02
ENSG00000214273,ENSG00000214273,340.9,1.03,0.29,3.55,3.85e-4,4.68e-02
ENSG00000155097,ALG10,870.4,1.02,0.28,3.64,2.73e-4,4.10e-02
