category,go_id,go_description,gene_count,pvalue,padj,genes
BP,GO:0006954,inflammatory response,5,0.0012,0.085,"HMOX1/LY96/TNFSF11/FCER1A/CFLAR"
BP,GO:0006811,ion transport,4,0.0028,0.110,"SLC5A8/SLC7A2/LPAR6/DISP2"
BP,GO:0006979,response to oxidative stress,3,0.0045,0.142,"HMOX1/CYP39A1/NDUFA3"
BP,GO:0008283,cell proliferation,4,0.0062,0.158,"ZWILCH/TNFSF11/HMOX1/DISP2"
MF,GO:0005515,protein binding,14,0.0008,0.068,"ZWILCH/HMOX1/GRAMD1C/ZNF711/LY96/CASD1/..."
MF,GO:0016491,oxidoreductase activity,3,0.0039,0.125,"HMOX1/CYP39A1/NDUFA3"
MF,GO:0005215,transporter activity,3,0.0051,0.140,"SLC5A8/SLC7A2/ATP10B"
CC,GO:0005886,plasma membrane,11,0.0009,0.072,"SLC5A8/SLC7A2/LY96/LPAR6/DISP2/FCER1A/..."
CC,GO:0005737,cytoplasm,16,0.0015,0.090,"HMOX1/KYNU/CSTA/ETNK1/ZWILCH/..."
CC,GO:0005634,nucleus,8,0.0048,0.138,"ZNF711/WDR72/DISP2/ZWILCH/..."
